Day of Simulation[],Month[],Day of Month[],DST Indicator[1=yes 0=no],Hour[],DayType,Power Cook IT Light Other White
24,1,24,1,9,Thursday,614.693
24,1,24,1,10,Thursday,601.794
24,1,24,1,11,Thursday,644.683
24,1,24,1,12,Thursday,671.489
24,1,24,1,13,Thursday,632.589
24,1,24,1,14,Thursday,621.253
24,1,24,1,15,Thursday,668.336
24,1,24,1,16,Thursday,893.497
24,1,24,1,17,Thursday,1256.613
24,1,24,1,18,Thursday,1088.619
24,1,24,1,19,Thursday,1035.296
24,1,24,1,20,Thursday,896.448
24,1,24,1,21,Thursday,854.855
24,1,24,1,22,Thursday,709.289
24,1,24,1,23,Thursday,563.353
24,1,24,1,24,Thursday,478.195
25,1,25,1,1,Friday,417.15
25,1,25,1,2,Friday,383.285
25,1,25,1,3,Friday,371.115
25,1,25,1,4,Friday,370.019
25,1,25,1,5,Friday,401.484
25,1,25,1,6,Friday,475.637
25,1,25,1,7,Friday,588.172
25,1,25,1,8,Friday,622.447
25,1,25,1,9,Friday,614.693
25,1,25,1,10,Friday,601.794
25,1,25,1,11,Friday,644.683
25,1,25,1,12,Friday,671.489
25,1,25,1,13,Friday,632.589
25,1,25,1,14,Friday,621.253
25,1,25,1,15,Friday,668.336
25,1,25,1,16,Friday,893.497
25,1,25,1,17,Friday,1256.613
25,1,25,1,18,Friday,1088.619
25,1,25,1,19,Friday,1035.296
25,1,25,1,20,Friday,896.448
25,1,25,1,21,Friday,854.855
25,1,25,1,22,Friday,709.289
25,1,25,1,23,Friday,563.353
25,1,25,1,24,Friday,478.195
26,1,26,1,1,Saturday,435.686
26,1,26,1,2,Saturday,393.04
26,1,26,1,3,Saturday,372.574
26,1,26,1,4,Saturday,368.858
26,1,26,1,5,Saturday,373.916
26,1,26,1,6,Saturday,397.582
26,1,26,1,7,Saturday,513.077
26,1,26,1,8,Saturday,646.167
26,1,26,1,9,Saturday,703.051
26,1,26,1,10,Saturday,789.731
26,1,26,1,11,Saturday,861.681
26,1,26,1,12,Saturday,880.934
26,1,26,1,13,Saturday,805.485
26,1,26,1,14,Saturday,820.541
26,1,26,1,15,Saturday,810.902
26,1,26,1,16,Saturday,920.451
26,1,26,1,17,Saturday,1242.517
26,1,26,1,18,Saturday,1013.837
26,1,26,1,19,Saturday,971.465
26,1,26,1,20,Saturday,875.975
26,1,26,1,21,Saturday,816.569
26,1,26,1,22,Saturday,710.323
26,1,26,1,23,Saturday,560.593
26,1,26,1,24,Saturday,486.409
27,1,27,1,1,Sunday,435.686
27,1,27,1,2,Sunday,393.04
27,1,27,1,3,Sunday,372.574
27,1,27,1,4,Sunday,368.858
27,1,27,1,5,Sunday,373.916
27,1,27,1,6,Sunday,397.582
27,1,27,1,7,Sunday,513.077
27,1,27,1,8,Sunday,646.167
27,1,27,1,9,Sunday,703.051
27,1,27,1,10,Sunday,789.731
27,1,27,1,11,Sunday,861.681
27,1,27,1,12,Sunday,880.934
27,1,27,1,13,Sunday,805.485
27,1,27,1,14,Sunday,820.541
27,1,27,1,15,Sunday,810.902
27,1,27,1,16,Sunday,920.451
27,1,27,1,17,Sunday,1242.517
27,1,27,1,18,Sunday,1013.837
27,1,27,1,19,Sunday,971.465
27,1,27,1,20,Sunday,875.975
27,1,27,1,21,Sunday,816.569
27,1,27,1,22,Sunday,710.323
27,1,27,1,23,Sunday,560.593
27,1,27,1,24,Sunday,486.409
28,1,28,1,1,Monday,417.15
28,1,28,1,2,Monday,383.285
28,1,28,1,3,Monday,371.115
28,1,28,1,4,Monday,370.019
28,1,28,1,5,Monday,401.484
28,1,28,1,6,Monday,475.637
28,1,28,1,7,Monday,588.172
28,1,28,1,8,Monday,622.447
28,1,28,1,9,Monday,614.693
28,1,28,1,10,Monday,601.794
28,1,28,1,11,Monday,644.683
28,1,28,1,12,Monday,671.489
28,1,28,1,13,Monday,632.589
28,1,28,1,14,Monday,621.253
28,1,28,1,15,Monday,668.336
28,1,28,1,16,Monday,893.497
28,1,28,1,17,Monday,1256.613
28,1,28,1,18,Monday,1088.619
28,1,28,1,19,Monday,1035.296
28,1,28,1,20,Monday,896.448
28,1,28,1,21,Monday,854.855
28,1,28,1,22,Monday,709.289
28,1,28,1,23,Monday,563.353
28,1,28,1,24,Monday,478.195
29,1,29,1,1,Tuesday,417.15
29,1,29,1,2,Tuesday,383.285
29,1,29,1,3,Tuesday,371.115
29,1,29,1,4,Tuesday,370.019
29,1,29,1,5,Tuesday,401.484
29,1,29,1,6,Tuesday,475.637
29,1,29,1,7,Tuesday,588.172
29,1,29,1,8,Tuesday,622.447
29,1,29,1,9,Tuesday,614.693
29,1,29,1,10,Tuesday,601.794
29,1,29,1,11,Tuesday,644.683
29,1,29,1,12,Tuesday,671.489
29,1,29,1,13,Tuesday,632.589
29,1,29,1,14,Tuesday,621.253
29,1,29,1,15,Tuesday,668.336
29,1,29,1,16,Tuesday,893.497
29,1,29,1,17,Tuesday,1256.613
29,1,29,1,18,Tuesday,1088.619
29,1,29,1,19,Tuesday,1035.296
